graph_id,repo_id,base_commit,repo,status,created_at,size
e89f5a7e-7d80-4de9-9bd2-d866f5b47f82,6742ecc5-d44b-4b8d-b3ac-037ebb641659,cebe3fb299a4ea6787a11d8700a9933cc838bcfb,simdjson/simdjson,completed,2025-07-01 17:20:08.793221+00:00,4.057
3bf35b06-1492-4ba0-9d91-510c597c7530,2a408baf-7e8d-4f64-acf6-3f4554376d01,ccea338070c795fd966a4dc08b19268b6fbad5ef,fmtlib/fmt,completed,2025-07-01 17:21:41.768607+00:00,2.545
5f078a97-3f2c-4cdb-8bc4-d4d1eebc0882,1a04b2c9-854d-4cc1-a684-fc80751bbb47,22cdfb0c93f8ec78492d87edb810f10cb7f57a31,mwaskom/seaborn,completed,2025-02-25 14:50:39.155791+00:00,1.779
5264b99d-336a-432c-b88d-6fcff4166541,487acfb5-8e7d-49a4-8322-1a95344ccd46,a7e38c5c61928033a2dc1915cbee8caa8544a4d0,pytest-dev/pytest,completed,2025-02-26 15:50:52.933833+00:00,2.926
18fafc0c-df8b-4051-884c-cd700d801857,695517ce-f198-43bc-9ae4-346c056555cb,b2571883cae4290b4ef0dd0a583d22c14116c4a3,zeromicro/go-zero,completed,2025-07-01 17:22:16.019422+00:00,2.628
578482ef-578f-4b3f-a448-911ceab4acac,3310c73c-8059-4b77-8bf7-4401c7e99b9a,3dd06a46750d174f821df5377996f493f1af4ebb,matplotlib/matplotlib,completed,2025-02-25 14:44:00.071746+00:00,11.403
0eb992ed-edc5-4b8f-a1c3-4f64b3c63f91,6dede082-d9ce-484e-ba0b-bbc2ac219cc0,a3e2897bfaf9eaac1d6649da535c4e721c89fa69,matplotlib/matplotlib,completed,2025-02-25 14:15:43.171297+00:00,11.467
9e6510d5-a15a-4c23-bd05-ba4a80133829,f370ead8-6984-42e8-805b-f2f99177cd6d,b9cf764be62e77b4777b3a75ec256f6209a57671,django/django,completed,2025-02-25 14:13:18.740824+00:00,8.619
fe588bec-21c0-4361-8664-f30756dd7b50,8a0b970c-512e-4f83-9f2d-b9b9d3d92275,d65c9ca20ddf81ef91199e6d819f9d3506ef477c,matplotlib/matplotlib,completed,2025-02-25 15:09:31.963537+00:00,11.498
7b4cae1c-8a45-4866-80e7-a94d88dc2560,faef84c8-f3b8-400a-97e8-1d0fde1826db,6fe21d8f5224c5d8a58d210bd2bc70f5a008294c,cli/cli,completed,2025-07-01 17:22:52.312344+00:00,4.868
f642c5c9-9e85-4520-b4e5-1d7bbf9861d1,47274b4b-e974-4890-aa9d-7c0b61ef4320,54cab15bdacfaa05a88fbc5502a5b322d99f148e,mwaskom/seaborn,completed,2025-02-25 14:21:05.316702+00:00,1.736
d96cf6dc-8d21-4cf9-add7-177f1f00d343,7f3adb36-67c8-4944-8a1e-0cf3153686f8,298ccb478e6bf092953bca67a3d29dc6c35f6752,astropy/astropy,completed,2025-02-25 14:10:52.038063+00:00,20.199
aa721e37-6195-46b2-9207-b55a4e67fdd8,efe85525-c4d7-4e4f-ba43-f05d77fbfde2,7ee9ceb71e868944a46e1ff00b506772a53a4f1d,pallets/flask,completed,2025-02-25 14:21:45.773982+00:00,0.792
b175ddab-a257-47df-99e9-2681c0ad0480,49fdc61b-672f-4db8-96f8-4069ad03b140,14d026cccb144c6877294ba4cd4e03ebf0842498,django/django,completed,2025-02-25 15:07:04.490432+00:00,8.748
5afc8cab-230a-41f2-975b-a8d5ebfe06be,8613a1b0-00a0-4f8d-a95a-cc906150d1f6,b7d05919865fc0c37a0164cf467d5d5513bd0ede,matplotlib/matplotlib,completed,2025-02-10 18:04:30.532780+00:00,10.721
27d7a64b-30da-40a3-9fc9-578ea21a06ad,e6b2f7c9-023d-4d55-92f5-c386464a08f9,22623bd8c265b78b161542663ee980738441c307,psf/requests,completed,2025-02-25 14:23:47.708589+00:00,0.699
34731785-5cd5-453a-bd48-120848b4b056,c7613d45-5ea4-444e-a991-019a1be55588,94621cef29f80282436d73e8d2c0aa76dab81273,mwaskom/seaborn,completed,2025-02-11 13:26:31.854126+00:00,1.537
f96c27f8-789a-45ad-b867-28b2df58b94b,931a9638-fc92-49ed-a9d7-d6d96d423ddc,360290c4c401e386db60723ddb0109ed499c9f6e,sympy/sympy,completed,2025-02-25 14:36:50.441965+00:00,11.075
c517b99c-78cf-4247-8102-4e05a1f28170,c1863dfb-4921-4203-b9ed-d7d92474c188,586f4318ffcdfbd9a1093f35ad43e81983740b66,scikit-learn/scikit-learn,completed,2025-02-26 19:10:01.436468+00:00,9.917
33938130-a29d-4b47-a50a-5030f324bae9,dc892764-f84a-4a11-aa6d-850d626b7a6c,d8c37f43724cd9fb0870f77877b7c4c7e38a19e0,pallets/flask,completed,2025-01-13 17:20:23.960320+00:00,0.838
bcea6f09-1b5f-4e1e-874e-741e45d3ee07,cbf7d753-0182-458c-b62f-a8d34ceba362,e7fd69d051eaa67cb17f172a39b57253e9cb831a,django/django,completed,2025-01-13 17:38:37.165826+00:00,8.688
78573240-f3a2-49d1-8c06-4f09a7931d55,08d38858-c14e-4551-9008-35993d76a2eb,7bdc11e87c7d86dcc2a087eccb7a7c129a473415,sphinx-doc/sphinx,completed,2025-01-13 18:25:57.324902+00:00,4.29
19f4d91d-7a81-4496-9fd8-62e4ae7993d1,390568ac-bf5b-4aca-8d63-d93f31b304b5,7ca279e33aebb60168d35e6be4ed059f4a68f2c1,sphinx-doc/sphinx,completed,2025-01-14 01:37:34.747006+00:00,5.119
64abb07d-a172-40ba-9b0c-7f1873dd3ab1,ad6473f2-7ce7-42cd-b498-adddaab7e04c,d16bfe05a744909de4b27f5875fe0d4ed41ce607,astropy/astropy,completed,2025-01-13 17:32:39.202599+00:00,20.187
e04b5ee9-c5fe-4ff3-9bee-c8ad24475dfc,68d1c484-0188-4f9b-821a-dce64c61bb5c,a0df2cbb10419037d11d04352b3175405ab52941,psf/requests,completed,2025-01-14 01:21:48.307903+00:00,1.225
e198fb14-8a7b-44c2-9de4-0d2046c67bed,0263a169-d383-4646-90f8-e146554d0aab,6995257cf470d2143ad1683824962de4071c0eb7,pytest-dev/pytest,completed,2025-01-13 18:15:30.356118+00:00,3.43
6cab894f-40d4-4f14-93db-4fccdec8bf3e,4d90b200-dc32-4c88-85a6-3f4cd3a5f3c0,f6a781f77f5ddf1204c60ca7c544809407d4a807,matplotlib/matplotlib,completed,2025-01-14 01:11:31.686180+00:00,11.284
e2d88a5b-94dc-4e5b-8960-518434049b23,daa20bc6-785c-4b3b-bc10-14e914d47c49,182ce3dd15dfa3537391c3efaf9c3ff407d134d4,pallets/flask,completed,2025-01-14 01:18:46.574260+00:00,0.79
a0420f50-8190-4526-854d-716b388c90d8,9303c657-61c6-45db-bf66-5fb380f0bced,b90661d6a46aa3619d3eec94d5281f5888add501,scikit-learn/scikit-learn,completed,2025-01-13 18:20:45.274896+00:00,7.207
856fcc31-9740-4cbd-9fb6-11b959a77022,65da73fa-dd63-4277-9130-68691e3a48d4,863e49066ca4d61c9adfe62aca3bf21b90e1af8c,pydata/xarray,completed,2025-01-13 18:05:19.203672+00:00,2.656
ece6a5ee-0b47-4d4a-8e9a-77b08f5ddd9d,169657cd-6066-4ad9-a611-79ac0a65ec8e,d5bd3f68bb6d5ce3a61bdce9883ee750d1afade5,astropy/astropy,completed,2025-01-13 21:50:16.297618+00:00,19.462
f2ac832e-9009-431f-94a7-51b924a85454,500640bc-7a36-4ded-931a-623e2a1220c8,e2ee3144ed6e241dea8d96215fcdca18b3892551,pytest-dev/pytest,completed,2025-01-14 01:31:07.816231+00:00,3.199
1bee46d3-e822-4de9-961e-ad7726a369d7,c7aedc57-9bdd-4bc5-97e3-9a0ec779dc8a,4a72da71001f154ea60906a2f74898d32b7322a7,django/django,completed,2025-01-14 01:07:59.784408+00:00,10.09
89812d05-2e21-4aaf-b265-14dabc5ee111,4cfa998e-ae37-4188-b860-a5a763fcc726,182cc539b8154c0710fcea7e522267e42eba8899,pylint-dev/pylint,completed,2025-01-13 18:10:24.608224+00:00,1.713
b7124c99-5d7e-4d28-a1d3-e8792bf4a7e7,8ac08d69-d1fc-48b8-8f02-d54c0346e555,110048f9837f8441ea536804115e80b69f400277,psf/requests,completed,2025-01-13 18:00:11.451864+00:00,0.833
86a21aa2-04e3-4def-a755-db31114c930d,415a04fc-e4af-41d6-aaf5-4c6ce115ca81,2c867b8f822eb7a684f0d5c4359e4426e1c9cfe0,scikit-learn/scikit-learn,completed,2025-01-14 01:34:22.545952+00:00,9.677
03a0959b-a463-471f-8cd3-a41c083bc7c2,b1d4ffbe-3e75-401a-8bd0-8755a71f17f2,7c4e2ac83f7b4306296ff9b7b51aaf016e5ad614,pydata/xarray,completed,2025-02-25 14:25:53.247142+00:00,2.095
a1a3300b-c4a7-4bae-b811-48e39588cff7,8073529b-e24a-487c-a234-19ef0d81bb42,e90702074e68e20dc8e5df5013ee3ecf22139c3e,pylint-dev/pylint,completed,2025-02-10 23:07:03.786421+00:00,2.404
7d31d38a-a0c3-4bd2-acc6-462c54f3537e,bb196fa4-f551-4752-8680-ca7ab2411639,1ba83c47ce7b177efe90d5f51f7760680f72eda0,psf/requests,completed,2025-02-25 15:11:33.975675+00:00,0.803
01906913-fcbd-45f9-b565-946bb76879e4,e2b26edf-bc8f-4ad4-abd0-aa912e95b886,515286e02be3e4c0ff2ef4addb34a53c4a676ee4,mwaskom/seaborn,completed,2025-01-14 03:21:43.951196+00:00,1.818
031acb38-7253-40c8-8f5c-c0b811e07188,43b7ba40-1d53-4f28-861a-48546b30970b,f050a7775dfc9000f55d023d36d925a8d02ccfa8,sphinx-doc/sphinx,completed,2025-02-26 15:55:21.296859+00:00,4.329
4906a62d-e988-4511-819d-c22a9b17f9b6,4f1d176a-fd25-4b5d-8f37-8e60edf65d7b,e56905889c836c736152b11a7e6117a229715975,pydata/xarray,completed,2025-02-10 22:43:28.126104+00:00,2.239
59f512c6-0315-4a30-b2e3-8b89e6496cf5,20d85d28-8590-4765-ab1c-d9c78968761f,d3b4158dea271485e3daa11bf82e69b8dab348ce,sympy/sympy,completed,2025-01-14 01:40:59.413073+00:00,16.857
